#Lambda	Flux(Jy)
8.509	-0.00172
8.510	-0.00107
8.511	-0.00044
8.512	0.00017
8.513	0.00078
8.514	0.00138
8.515	0.00195
8.516	0.00250
8.517	0.00303
8.518	0.00351
8.519	0.00397
8.520	0.00440
8.521	0.00480
8.522	0.00518
8.523	0.00552
8.524	0.00583
8.525	0.00609
8.526	0.00632
8.527	0.00652
8.528	0.00668
8.529	0.00680
8.530	0.00689
8.531	0.00693
8.532	0.00693
8.533	0.00688
8.534	0.00679
8.535	0.00666
8.536	0.00648
8.537	0.00626
8.538	0.00600
8.539	0.00569
8.540	0.00533
8.541	0.00490
8.542	0.00442
8.543	0.00390
8.544	0.00333
8.545	0.00274
8.546	0.00213
8.547	0.00151
8.548	0.00086
8.549	0.00016
8.550	-0.00057
8.551	-0.00132
8.552	-0.00206
8.553	-0.00278
8.554	-0.00346
8.555	-0.00411
8.556	-0.00477
8.557	-0.00543
8.558	-0.00606
8.559	-0.00666
8.560	-0.00720
8.561	-0.00768
8.562	-0.00807
8.563	-0.00841
8.564	-0.00871
8.565	-0.00894
8.566	-0.00912
8.567	-0.00923
8.568	-0.00926
8.569	-0.00920
8.570	-0.00906
8.571	-0.00884
8.572	-0.00854
8.573	-0.00818
8.574	-0.00774
8.575	-0.00725
8.576	-0.00670
8.577	-0.00609
8.578	-0.00539
8.579	-0.00462
8.580	-0.00378
8.581	-0.00291
8.582	-0.00201
8.583	-0.00110
8.584	-0.00020
8.585	0.00076
8.586	0.00175
8.587	0.00278
8.588	0.00381
8.589	0.00482
8.590	0.00579
8.591	0.00671
8.592	0.00760
8.593	0.00848
8.594	0.00934
8.595	0.01017
8.596	0.01094
8.597	0.01165
8.598	0.01227
8.599	0.01280
8.600	0.01327
8.601	0.01367
8.602	0.01401
8.603	0.01428
8.604	0.01446
8.605	0.01456
8.606	0.01456
8.607	0.01446
8.608	0.01425
8.609	0.01396
8.610	0.01360
8.611	0.01317
8.612	0.01269
8.613	0.01218
8.614	0.01162
8.615	0.01097
8.616	0.01025
8.617	0.00949
8.618	0.00870
8.619	0.00792
8.620	0.00715
8.621	0.00643
8.622	0.00570
8.623	0.00495
8.624	0.00420
8.625	0.00347
8.626	0.00278
8.627	0.00214
8.628	0.00157
8.629	0.00106
8.630	0.00060
8.631	0.00018
8.632	-0.00019
8.633	-0.00051
8.634	-0.00078
8.635	-0.00100
8.636	-0.00116
8.637	-0.00125
8.638	-0.00127
8.639	-0.00125
8.640	-0.00118
8.641	-0.00109
8.642	-0.00098
8.643	-0.00086
8.644	-0.00073
8.645	-0.00056
8.646	-0.00037
8.647	-0.00015
8.648	0.00006
8.649	0.00028
8.650	0.00048
8.651	0.00066
8.652	0.00083
8.653	0.00101
8.654	0.00117
8.655	0.00134
8.656	0.00149
8.657	0.00163
8.658	0.00176
8.659	0.00188
8.660	0.00198
8.661	0.00207
8.662	0.00215
8.663	0.00222
8.664	0.00229
8.665	0.00237
8.666	0.00245
8.667	0.00252
8.668	0.00260
8.669	0.00267
8.670	0.00274
8.671	0.00280
8.672	0.00287
8.673	0.00293
8.674	0.00299
8.675	0.00306
8.676	0.00312
8.677	0.00318
8.678	0.00323
8.679	0.00328
8.680	0.00331
8.681	0.00332
8.682	0.00332
8.683	0.00331
8.684	0.00330
8.685	0.00327
8.686	0.00323
8.687	0.00318
8.688	0.00311
8.689	0.00302
8.690	0.00291
8.691	0.00279
8.692	0.00265
8.693	0.00251
8.694	0.00237
8.695	0.00223
8.696	0.00210
8.697	0.00196
8.698	0.00182
8.699	0.00168
8.700	0.00154
8.701	0.00141
8.702	0.00130
8.703	0.00121
8.704	0.00114
8.705	0.00109
8.706	0.00105
8.707	0.00103
8.708	0.00102
8.709	0.00103
8.710	0.00105
8.711	0.00108
8.712	0.00114
8.713	0.00123
8.714	0.00133
8.715	0.00144
8.716	0.00156
8.717	0.00166
8.718	0.00176
8.719	0.00184
8.720	0.00192
8.721	0.00201
8.722	0.00209
8.723	0.00216
8.724	0.00221
8.725	0.00223
8.726	0.00222
8.727	0.00217
8.728	0.00211
8.729	0.00201
8.730	0.00190
8.731	0.00177
8.732	0.00162
8.733	0.00145
8.734	0.00126
8.735	0.00105
8.736	0.00080
8.737	0.00054
8.738	0.00026
8.739	-0.00002
8.740	-0.00028
8.741	-0.00053
8.742	-0.00077
8.743	-0.00101
8.744	-0.00126
8.745	-0.00149
8.746	-0.00172
8.747	-0.00192
8.748	-0.00209
8.749	-0.00223
8.750	-0.00234
8.751	-0.00242
8.752	-0.00248
8.753	-0.00252
8.754	-0.00253
8.755	-0.00252
8.756	-0.00248
8.757	-0.00243
8.758	-0.00233
8.759	-0.00221
8.760	-0.00206
8.761	-0.00189
8.762	-0.00172
8.763	-0.00154
8.764	-0.00137
8.765	-0.00121
8.766	-0.00103
8.767	-0.00085
8.768	-0.00066
8.769	-0.00048
8.770	-0.00031
8.771	-0.00015
8.772	-0.00002
8.773	0.00010
8.774	0.00021
8.775	0.00030
8.776	0.00038
8.777	0.00046
8.778	0.00052
8.779	0.00057
8.780	0.00061
8.781	0.00064
8.782	0.00065
8.783	0.00065
8.784	0.00064
8.785	0.00063
8.786	0.00062
8.787	0.00062
8.788	0.00062
8.789	0.00062
8.790	0.00062
8.791	0.00062
8.792	0.00062
8.793	0.00062
8.794	0.00062
8.795	0.00062
8.796	0.00063
8.797	0.00064
8.798	0.00066
8.799	0.00068
8.800	0.00070
8.801	0.00071
8.802	0.00070
8.803	0.00069
8.804	0.00067
8.805	0.00064
8.806	0.00061
8.807	0.00057
8.808	0.00051
8.809	0.00044
8.810	0.00035
8.811	0.00023
8.812	0.00010
8.813	-0.00005
8.814	-0.00021
8.815	-0.00039
8.816	-0.00059
8.817	-0.00080
8.818	-0.00104
8.819	-0.00129
8.820	-0.00157
8.821	-0.00188
8.822	-0.00221
8.823	-0.00254
8.824	-0.00287
8.825	-0.00320
8.826	-0.00351
8.827	-0.00382
8.828	-0.00415
8.829	-0.00447
8.830	-0.00480
8.831	-0.00510
8.832	-0.00538
8.833	-0.00563
8.834	-0.00583
8.835	-0.00600
8.836	-0.00616
8.837	-0.00629
8.838	-0.00639
8.839	-0.00645
8.840	-0.00646
8.841	-0.00643
8.842	-0.00634
8.843	-0.00619
8.844	-0.00599
8.845	-0.00574
8.846	-0.00545
8.847	-0.00513
8.848	-0.00477
8.849	-0.00438
8.850	-0.00396
8.851	-0.00348
8.852	-0.00295
8.853	-0.00239
8.854	-0.00180
8.855	-0.00120
8.856	-0.00062
8.857	-0.00005
8.858	0.00050
8.859	0.00106
8.860	0.00164
8.861	0.00222
8.862	0.00277
8.863	0.00329
8.864	0.00377
8.865	0.00418
8.866	0.00452
8.867	0.00483
8.868	0.00511
8.869	0.00533
8.870	0.00551
8.871	0.00564
8.872	0.00571
8.873	0.00572
8.874	0.00567
8.875	0.00554
8.876	0.00535
8.877	0.00511
8.878	0.00483
8.879	0.00451
8.880	0.00417
8.881	0.00381
8.882	0.00342
8.883	0.00298
8.884	0.00250
8.885	0.00200
8.886	0.00148
8.887	0.00096
8.888	0.00044
8.889	-0.00005
8.890	-0.00055
8.891	-0.00105
8.892	-0.00156
8.893	-0.00207
8.894	-0.00257
8.895	-0.00305
8.896	-0.00353
8.897	-0.00398
8.898	-0.00440
8.899	-0.00482
8.900	-0.00522
8.901	-0.00560
8.902	-0.00599
8.903	-0.00636
8.904	-0.00674
8.905	-0.00712
8.906	-0.00749
8.907	-0.00785
8.908	-0.00821
8.909	-0.00857
8.910	-0.00893
8.911	-0.00929
8.912	-0.00965
8.913	-0.01002
8.914	-0.01040
8.915	-0.01079
8.916	-0.01118
8.917	-0.01157
8.918	-0.01196
8.919	-0.01234
8.920	-0.01272
8.921	-0.01309
8.922	-0.01347
8.923	-0.01385
8.924	-0.01422
8.925	-0.01459
