FILENAME:	2bb015_9.txt
TITLE:	AFC Filter 01 ZnS Test Piece Sample 2BB @ 15K, 2.6°i, In f/8 (CDCR 04791/04797, SMCR 01930)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 01 (N-Band) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	20-Aug-2001
AUTHOR:	Richard Sherwood
CHANNEL:	01
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
2.125	0.25396
2.126	-0.10150
2.127	0.06287
2.128	-0.12915
2.129	0.00755
2.130	0.15398
2.131	0.01660
2.132	0.46137
2.133	0.48432
2.134	-0.15465
2.135	0.18839
2.136	0.20741
2.137	0.74823
2.138	0.50109
2.139	-0.41071
2.140	0.29515
2.141	0.25219
2.142	-0.54676
2.143	0.02564
2.144	-0.32215
2.145	-0.07253
2.146	0.33744
2.147	0.30281
2.148	-0.61832
2.149	0.24892
2.150	0.28223
2.151	0.36138
2.152	0.06736
2.153	0.72330
2.154	-0.00188
2.155	-0.38868
2.156	-0.10080
2.157	0.30250
2.158	0.65614
2.159	0.51181
2.160	0.15837
2.161	0.31934
2.162	0.55930
2.163	-0.03537
2.164	0.42753
2.165	0.28686
2.166	-0.17660
2.167	0.05005
2.168	-0.01644
2.169	-0.39273
2.170	0.47364
2.171	0.18877
2.172	-0.19463
2.173	0.17108
2.174	1.28447
2.175	0.71564
2.176	0.72717
2.177	0.46076
2.178	0.86688
2.179	-0.03159
2.180	-0.64859
2.181	-0.40315
2.182	0.27394
2.183	-0.22225
2.184	-0.10913
2.185	-0.33654
2.186	-0.14113
2.187	-0.17650
2.188	0.15227
2.189	-0.01720
2.190	-0.13443
2.191	0.12598
2.192	0.62694
2.193	0.73548
2.194	1.03719
2.195	0.79176
2.196	0.38975
2.197	-0.05193
2.198	0.34704
2.199	0.91236
2.200	0.40417
2.201	0.39188
2.202	0.41409
2.203	0.06194
2.204	0.60098
2.205	-0.04830
2.206	0.28477
2.207	0.20803
2.208	-0.15932
2.209	0.00456
2.210	-0.06505
2.211	0.26487
2.212	-0.13010
2.213	-0.21624
2.214	0.04768
2.215	0.09839
2.216	0.16341
2.217	0.25555
2.218	0.16205
2.219	0.20803
2.220	0.36564
2.221	0.16724
2.222	0.05901
2.223	-0.20293
2.224	-0.00434
2.225	0.06631
2.226	0.16002
2.227	0.15771
2.228	0.59937
2.229	0.37444
2.230	0.20418
2.231	0.20257
2.232	0.23730
2.233	0.04371
2.234	0.01191
