#Lambda	Flux(Jy)
2.402	-0.00253
2.403	-0.01035
2.404	-0.01149
2.405	-0.00560
2.406	0.00364
2.407	0.01342
2.408	0.02658
2.409	0.04455
2.410	0.05568
2.411	0.04654
2.412	0.02598
2.413	0.01241
2.414	0.00528
2.415	0.00380
2.416	0.01717
2.417	0.03716
2.418	0.04096
2.419	0.02444
2.420	-0.00104
2.421	-0.02032
2.422	-0.01114
2.423	0.02652
2.424	0.05426
2.425	0.05295
2.426	0.03303
2.427	0.00294
2.428	-0.02131
2.429	-0.02434
2.430	-0.01641
2.431	-0.01018
2.432	-0.00519
2.433	-0.01215
2.434	-0.03751
2.435	-0.05125
2.436	-0.02281
2.437	0.02469
2.438	0.04874
2.439	0.04856
2.440	0.04640
2.441	0.04095
2.442	0.02505
2.443	0.00832
2.444	0.00830
2.445	0.02624
2.446	0.03979
2.447	0.03319
2.448	0.01955
2.449	0.01053
2.450	-0.00102
2.451	-0.00937
2.452	-0.00243
2.453	0.01000
2.454	0.01604
2.455	0.01766
2.456	0.01902
2.457	0.02214
2.458	0.02669
2.459	0.02752
2.460	0.02553
2.461	0.02390
2.462	0.01868
2.463	0.00922
2.464	0.00588
2.465	0.01589
2.466	0.02976
2.467	0.03469
2.468	0.03460
2.469	0.03090
2.470	0.01323
2.471	-0.01027
2.472	-0.01984
2.473	-0.01684
2.474	-0.01471
2.475	-0.01530
2.476	-0.00887
2.477	0.00482
2.478	0.00867
2.479	-0.00160
2.480	-0.00859
2.481	0.00026
2.482	0.01237
2.483	0.00828
2.484	-0.00362
2.485	0.00219
2.486	0.02441
2.487	0.03852
2.488	0.03331
2.489	0.01606
2.490	0.00423
2.491	0.01666
2.492	0.04291
2.493	0.05537
2.494	0.04822
2.495	0.03391
2.496	0.01850
2.497	0.00895
2.498	0.01615
2.499	0.03562
2.500	0.04740
2.501	0.04080
2.502	0.02695
2.503	0.01854
2.504	0.01483
2.505	0.01235
2.506	0.01480
2.507	0.02035
2.508	0.02076
2.509	0.01746
2.510	0.01653
2.511	0.01577
2.512	0.01167
2.513	0.00514
2.514	-0.00270
2.515	-0.01006
2.516	-0.01324
2.517	-0.00954
2.518	-0.00272
2.519	-0.00432
2.520	-0.01707
2.521	-0.02853
2.522	-0.03065
2.523	-0.02537
2.524	-0.01708
2.525	-0.00894
2.526	-0.00150
2.527	-0.00136
2.528	-0.01795
2.529	-0.03215
2.530	-0.01016
2.531	0.03373
2.532	0.05346
2.533	0.03951
2.534	0.01493
2.535	-0.00320
2.536	-0.01082
2.537	-0.01095
2.538	-0.00729
2.539	0.00113
2.540	0.01140
2.541	0.01702
2.542	0.02178
2.543	0.03139
2.544	0.03791
2.545	0.03186
2.546	0.01779
2.547	0.00784
2.548	0.00560
2.549	0.00345
2.550	-0.00215
2.551	-0.00213
2.552	0.00942
