#Lambda	Flux
6.931	0.00886
6.932	0.00790
6.933	0.00694
6.934	0.00597
6.935	0.00499
6.936	0.00398
6.937	0.00296
6.938	0.00194
6.939	0.00095
6.940	0.00000
6.941	-0.00095
6.942	-0.00189
6.943	-0.00276
6.944	-0.00352
6.945	-0.00415
6.946	-0.00470
6.947	-0.00515
6.948	-0.00545
6.949	-0.00558
6.950	-0.00550
6.951	-0.00525
6.952	-0.00483
6.953	-0.00426
6.954	-0.00356
6.955	-0.00269
6.956	-0.00162
6.957	-0.00042
6.958	0.00081
6.959	0.00202
6.960	0.00327
6.961	0.00457
6.962	0.00587
6.963	0.00708
6.964	0.00812
6.965	0.00904
6.966	0.00987
6.967	0.01058
6.968	0.01119
6.969	0.01167
6.970	0.01199
6.971	0.01218
6.972	0.01230
6.973	0.01241
6.974	0.01253
6.975	0.01258
6.976	0.01260
6.977	0.01265
6.978	0.01281
6.979	0.01309
6.980	0.01347
6.981	0.01392
6.982	0.01446
6.983	0.01509
6.984	0.01584
6.985	0.01672
6.986	0.01769
6.987	0.01869
6.988	0.01967
6.989	0.02065
6.990	0.02168
6.991	0.02270
6.992	0.02367
6.993	0.02453
6.994	0.02529
6.995	0.02600
6.996	0.02662
6.997	0.02715
6.998	0.02757
6.999	0.02788
7.000	0.02808
7.001	0.02818
7.002	0.02821
7.003	0.02817
7.004	0.02804
7.005	0.02783
7.006	0.02755
7.007	0.02721
7.008	0.02682
7.009	0.02637
7.010	0.02587
7.011	0.02530
7.012	0.02467
7.013	0.02398
7.014	0.02322
7.015	0.02239
7.016	0.02151
7.017	0.02059
7.018	0.01963
7.019	0.01862
7.020	0.01756
7.021	0.01646
7.022	0.01535
7.023	0.01424
7.024	0.01310
7.025	0.01194
7.026	0.01077
7.027	0.00959
7.028	0.00840
7.029	0.00720
7.030	0.00600
7.031	0.00479
7.032	0.00360
7.033	0.00243
7.034	0.00123
7.035	0.00004
7.036	-0.00110
7.037	-0.00214
7.038	-0.00309
7.039	-0.00399
7.040	-0.00482
7.041	-0.00552
7.042	-0.00607
7.043	-0.00643
7.044	-0.00665
7.045	-0.00673
7.046	-0.00666
7.047	-0.00645
7.048	-0.00608
7.049	-0.00553
7.050	-0.00484
7.051	-0.00406
7.052	-0.00325
7.053	-0.00239
7.054	-0.00142
7.055	-0.00040
7.056	0.00061
7.057	0.00155
7.058	0.00242
7.059	0.00328
7.060	0.00409
7.061	0.00483
7.062	0.00547
7.063	0.00600
7.064	0.00644
7.065	0.00680
7.066	0.00707
7.067	0.00725
7.068	0.00734
7.069	0.00734
7.070	0.00725
7.071	0.00709
7.072	0.00690
7.073	0.00664
7.074	0.00630
7.075	0.00591
7.076	0.00551
7.077	0.00515
7.078	0.00481
7.079	0.00447
7.080	0.00414
7.081	0.00386
7.082	0.00365
7.083	0.00351
7.084	0.00343
7.085	0.00341
7.086	0.00345
7.087	0.00355
7.088	0.00374
7.089	0.00401
7.090	0.00434
7.091	0.00470
7.092	0.00506
7.093	0.00541
7.094	0.00580
7.095	0.00619
7.096	0.00656
7.097	0.00689
7.098	0.00717
7.099	0.00741
7.100	0.00762
7.101	0.00780
7.102	0.00795
7.103	0.00807
7.104	0.00813
7.105	0.00816
7.106	0.00820
7.107	0.00827
7.108	0.00837
7.109	0.00848
7.110	0.00861
7.111	0.00877
7.112	0.00897
7.113	0.00923
7.114	0.00957
7.115	0.00995
7.116	0.01034
7.117	0.01070
7.118	0.01103
7.119	0.01138
7.120	0.01171
7.121	0.01199
7.122	0.01218
7.123	0.01225
7.124	0.01224
7.125	0.01215
7.126	0.01196
7.127	0.01167
7.128	0.01126
7.129	0.01070
7.130	0.01003
7.131	0.00928
7.132	0.00850
7.133	0.00772
7.134	0.00686
7.135	0.00595
7.136	0.00503
7.137	0.00420
7.138	0.00349
7.139	0.00284
7.140	0.00224
7.141	0.00175
7.142	0.00141
7.143	0.00128
7.144	0.00134
7.145	0.00156
7.146	0.00195
7.147	0.00250
7.148	0.00322
7.149	0.00416
7.150	0.00530
7.151	0.00659
7.152	0.00797
7.153	0.00938
7.154	0.01088
7.155	0.01251
7.156	0.01419
7.157	0.01584
7.158	0.01736
7.159	0.01877
7.160	0.02014
7.161	0.02144
7.162	0.02259
7.163	0.02354
7.164	0.02426
7.165	0.02480
7.166	0.02516
7.167	0.02535
7.168	0.02535
7.169	0.02517
7.170	0.02475
7.171	0.02414
7.172	0.02339
7.173	0.02257
7.174	0.02170
7.175	0.02070
7.176	0.01959
7.177	0.01844
7.178	0.01730
7.179	0.01624
7.180	0.01519
7.181	0.01415
7.182	0.01314
7.183	0.01219
7.184	0.01132
7.185	0.01053
7.186	0.00981
7.187	0.00914
7.188	0.00854
7.189	0.00798
7.190	0.00748
7.191	0.00704
7.192	0.00665
7.193	0.00630
7.194	0.00599
7.195	0.00570
7.196	0.00545
7.197	0.00524
7.198	0.00506
7.199	0.00493
7.200	0.00484
7.201	0.00478
7.202	0.00477
7.203	0.00480
7.204	0.00488
7.205	0.00502
7.206	0.00522
7.207	0.00547
7.208	0.00577
7.209	0.00612
7.210	0.00652
7.211	0.00698
7.212	0.00749
7.213	0.00804
7.214	0.00862
7.215	0.00920
7.216	0.00980
7.217	0.01045
7.218	0.01110
7.219	0.01173
7.220	0.01231
7.221	0.01283
7.222	0.01334
7.223	0.01381
7.224	0.01422
7.225	0.01455
7.226	0.01478
7.227	0.01493
7.228	0.01501
7.229	0.01501
7.230	0.01494
7.231	0.01479
7.232	0.01455
7.233	0.01423
7.234	0.01385
7.235	0.01342
7.236	0.01297
7.237	0.01245
7.238	0.01186
7.239	0.01125
7.240	0.01065
7.241	0.01010
7.242	0.00961
7.243	0.00912
7.244	0.00867
7.245	0.00827
7.246	0.00796
7.247	0.00775
7.248	0.00762
7.249	0.00756
7.250	0.00757
7.251	0.00766
7.252	0.00782
7.253	0.00806
7.254	0.00839
7.255	0.00877
7.256	0.00918
7.257	0.00961
7.258	0.01006
7.259	0.01056
7.260	0.01108
7.261	0.01160
7.262	0.01208
7.263	0.01253
7.264	0.01296
7.265	0.01338
7.266	0.01378
7.267	0.01417
7.268	0.01453
7.269	0.01488
7.270	0.01522
7.271	0.01553
7.272	0.01582
7.273	0.01609
7.274	0.01635
7.275	0.01660
7.276	0.01682
7.277	0.01699
7.278	0.01712
7.279	0.01719
7.280	0.01723
7.281	0.01722
7.282	0.01717
7.283	0.01705
7.284	0.01687
7.285	0.01661
7.286	0.01629
7.287	0.01594
7.288	0.01557
7.289	0.01519
7.290	0.01476
7.291	0.01429
7.292	0.01382
7.293	0.01337
7.294	0.01297
7.295	0.01261
7.296	0.01227
7.297	0.01196
7.298	0.01169
7.299	0.01147
7.300	0.01132
7.301	0.01123
7.302	0.01120
7.303	0.01119
7.304	0.01118
7.305	0.01115
7.306	0.01117
7.307	0.01120
7.308	0.01122
7.309	0.01116
7.310	0.01098
7.311	0.01071
7.312	0.01039
7.313	0.00999
7.314	0.00946
7.315	0.00877
7.316	0.00791
7.317	0.00690
7.318	0.00575
7.319	0.00446
7.320	0.00305
7.321	0.00151
7.322	-0.00022
7.323	-0.00211
7.324	-0.00409
7.325	-0.00611
7.326	-0.00812
7.327	-0.01016
7.328	-0.01229
7.329	-0.01443
7.330	-0.01651
7.331	-0.01846
7.332	-0.02024
7.333	-0.02197
7.334	-0.02360
7.335	-0.02509
7.336	-0.02639
7.337	-0.02744
7.338	-0.02827
7.339	-0.02892
7.340	-0.02938
7.341	-0.02963
7.342	-0.02967
7.343	-0.02948
7.344	-0.02905
7.345	-0.02842
7.346	-0.02764
7.347	-0.02673
7.348	-0.02572
7.349	-0.02453
7.350	-0.02319
7.351	-0.02176
7.352	-0.02030
7.353	-0.01887
7.354	-0.01743
7.355	-0.01593
7.356	-0.01443
7.357	-0.01296
7.358	-0.01157
7.359	-0.01028
7.360	-0.00904
7.361	-0.00785
7.362	-0.00674
7.363	-0.00573
7.364	-0.00484
7.365	-0.00406
7.366	-0.00337
7.367	-0.00279
7.368	-0.00231
7.369	-0.00192
7.370	-0.00165
7.371	-0.00149
7.372	-0.00143
7.373	-0.00146
7.374	-0.00154
7.375	-0.00168
7.376	-0.00191
7.377	-0.00223
7.378	-0.00259
7.379	-0.00296
7.380	-0.00331
7.381	-0.00366
7.382	-0.00402
7.383	-0.00438
7.384	-0.00473
7.385	-0.00505
7.386	-0.00532
7.387	-0.00556
7.388	-0.00577
7.389	-0.00595
7.390	-0.00611
7.391	-0.00625
7.392	-0.00635
7.393	-0.00642
7.394	-0.00647
7.395	-0.00650
7.396	-0.00654
7.397	-0.00658
7.398	-0.00663
7.399	-0.00667
7.400	-0.00671
7.401	-0.00673
7.402	-0.00675
7.403	-0.00676
7.404	-0.00677
7.405	-0.00677
7.406	-0.00674
7.407	-0.00667
7.408	-0.00655
7.409	-0.00640
7.410	-0.00621
7.411	-0.00598
7.412	-0.00571
7.413	-0.00538
7.414	-0.00497
7.415	-0.00450
7.416	-0.00399
7.417	-0.00346
7.418	-0.00293
7.419	-0.00239
7.420	-0.00181
7.421	-0.00122
7.422	-0.00063
7.423	-0.00010
7.424	0.00035
7.425	0.00075
7.426	0.00111
7.427	0.00141
7.428	0.00164
7.429	0.00175
7.430	0.00175
7.431	0.00165
7.432	0.00145
7.433	0.00116
7.434	0.00077
7.435	0.00028
7.436	-0.00032
7.437	-0.00103
7.438	-0.00183
7.439	-0.00270
7.440	-0.00362
7.441	-0.00460
7.442	-0.00567
7.443	-0.00682
7.444	-0.00800
7.445	-0.00917
7.446	-0.01028
7.447	-0.01139
7.448	-0.01253
7.449	-0.01364
7.450	-0.01468
7.451	-0.01557
7.452	-0.01629
7.453	-0.01692
7.454	-0.01744
7.455	-0.01782
7.456	-0.01802
7.457	-0.01800
7.458	-0.01773
7.459	-0.01726
7.460	-0.01659
7.461	-0.01575
7.462	-0.01475
7.463	-0.01362
7.464	-0.01226
7.465	-0.01071
7.466	-0.00903
7.467	-0.00731
7.468	-0.00562
7.469	-0.00396
7.470	-0.00221
7.471	-0.00043
7.472	0.00129
7.473	0.00290
7.474	0.00431
7.475	0.00559
7.476	0.00676
7.477	0.00781
7.478	0.00871
7.479	0.00943
7.480	0.00995
7.481	0.01027
7.482	0.01043
7.483	0.01043
7.484	0.01032
7.485	0.01012
7.486	0.00979
7.487	0.00930
7.488	0.00871
7.489	0.00806
7.490	0.00739
7.491	0.00675
7.492	0.00606
7.493	0.00533
7.494	0.00459
7.495	0.00388
7.496	0.00325
7.497	0.00268
7.498	0.00216
7.499	0.00168
7.500	0.00125
7.501	0.00089
7.502	0.00061
7.503	0.00043
7.504	0.00032
7.505	0.00028
7.506	0.00028
7.507	0.00031
7.508	0.00036
7.509	0.00047
7.510	0.00062
7.511	0.00079
7.512	0.00097
7.513	0.00112
7.514	0.00126
7.515	0.00140
7.516	0.00154
7.517	0.00168
7.518	0.00180
7.519	0.00190
7.520	0.00199
7.521	0.00205
7.522	0.00211
7.523	0.00217
7.524	0.00225
7.525	0.00234
7.526	0.00244
7.527	0.00255
7.528	0.00267
7.529	0.00282
7.530	0.00300
7.531	0.00322
7.532	0.00348
7.533	0.00376
7.534	0.00406
7.535	0.00439
7.536	0.00472
7.537	0.00508
7.538	0.00546
7.539	0.00586
7.540	0.00627
7.541	0.00666
7.542	0.00704
