#Lambda	Flux
2.466	-0.00925
2.467	-0.00506
2.468	-0.00488
2.469	0.00273
2.470	0.01965
2.471	0.00474
2.472	-0.02545
2.473	-0.02106
2.474	-0.00754
2.475	-0.00395
2.476	0.00936
2.477	0.00857
2.478	0.00432
2.479	-0.00318
2.480	-0.01615
2.481	-0.02408
2.482	-0.00542
2.483	0.00905
2.484	0.01315
2.485	0.00839
2.486	-0.00214
2.487	0.00122
2.488	-0.00837
2.489	-0.01414
2.490	-0.00541
2.491	-0.00504
2.492	0.00279
2.493	0.00768
2.494	-0.00621
2.495	0.00322
2.496	-0.00473
2.497	-0.00207
2.498	0.00293
2.499	0.02223
2.500	0.00522
2.501	0.00868
2.502	0.01700
2.503	0.02887
2.504	0.02719
2.505	0.01805
2.506	-0.00212
2.507	-0.02028
2.508	-0.01116
2.509	-0.01196
2.510	-0.00430
2.511	-0.00596
2.512	-0.00741
2.513	0.01260
2.514	0.01093
2.515	0.00618
2.516	0.00734
2.517	0.00084
2.518	0.01056
2.519	0.01968
2.520	0.01702
2.521	0.00831
2.522	-0.00217
2.523	-0.01740
2.524	-0.02086
2.525	-0.01272
2.526	0.00798
2.527	0.00358
2.528	-0.00084
2.529	0.01180
2.530	0.07280
2.531	0.08206
2.532	0.02447
2.533	0.00476
2.534	0.00087
2.535	0.01845
2.536	0.01395
2.537	-0.01806
2.538	-0.00201
2.539	0.01822
2.540	0.00463
2.541	-0.00773
2.542	-0.00339
2.543	0.01315
2.544	0.00505
2.545	-0.00892
2.546	0.00335
2.547	0.00534
2.548	0.01478
2.549	0.01106
2.550	0.01184
2.551	0.01040
2.552	-0.00375
2.553	-0.00174
2.554	0.01225
2.555	0.00688
2.556	0.00027
2.557	-0.01280
2.558	-0.01743
2.559	0.00408
2.560	-0.00672
2.561	0.00151
2.562	0.00746
2.563	0.00008
2.564	0.00132
2.565	0.01116
2.566	0.01119
2.567	0.00904
2.568	0.01911
2.569	0.00610
2.570	-0.00352
2.571	0.01367
2.572	-0.00605
2.573	-0.01533
2.574	0.01323
2.575	0.00203
2.576	-0.01255
2.577	0.01231
2.578	-0.00938
2.579	-0.01474
2.580	-0.00463
2.581	0.02035
2.582	0.00100
2.583	-0.02526
2.584	-0.05450
2.585	-0.02452
2.586	-0.00943
2.587	0.00746
2.588	0.05163
2.589	0.03375
2.590	0.02442
2.591	0.02508
2.592	0.02539
2.593	0.01575
2.594	0.02033
2.595	0.06731
2.596	0.03500
2.597	0.02252
2.598	0.01109
2.599	0.00714
2.600	0.01012
2.601	0.02105
2.602	0.03605
2.603	0.02234
2.604	-0.00565
2.605	-0.01918
2.606	0.02713
2.607	0.02433
2.608	0.01396
2.609	-0.01186
2.610	-0.01866
2.611	0.01108
2.612	0.01323
2.613	0.01276
2.614	0.03016
2.615	0.01504
2.616	0.01204
2.617	0.00530
2.618	0.01851
2.619	0.00396
2.620	0.02338
2.621	0.07041
2.622	0.03313
2.623	0.01723
2.624	0.00634
2.625	-0.00088
2.626	0.00547
2.627	0.02011
2.628	0.02273
2.629	0.01746
2.630	-0.01055
2.631	-0.04747
2.632	-0.06443
2.633	-0.02579
2.634	-0.02213
2.635	-0.00801
2.636	-0.00713
2.637	-0.01265
2.638	-0.00638
2.639	-0.00577
2.640	-0.01029
2.641	0.02402
2.642	0.07986
2.643	0.02871
2.644	0.01437
2.645	0.01408
2.646	0.01291
2.647	0.00653
2.648	0.00102
2.649	0.00714
2.650	0.01144
2.651	0.01106
2.652	-0.00577
2.653	-0.00506
2.654	0.01269
2.655	0.02927
2.656	0.02238
2.657	0.00521
2.658	0.01259
2.659	-0.01132
2.660	-0.01703
2.661	0.00965
2.662	0.00062
2.663	0.00005
2.664	0.02165
2.665	0.02959
2.666	-0.02113
2.667	-0.00163
2.668	0.01491
2.669	0.01687
2.670	0.05664
2.671	0.04378
2.672	0.02415
2.673	0.04008
2.674	0.05057
2.675	0.02902
2.676	0.01668
2.677	0.08352
2.678	0.06898
2.679	0.01444
2.680	0.00310
2.681	0.01043
2.682	0.00406
2.683	0.00285
2.684	0.03168
2.685	0.02762
2.686	0.00312
2.687	-0.00119
2.688	-0.00439
2.689	0.03134
2.690	0.02850
2.691	-0.00954
2.692	-0.01088
2.693	0.01073
2.694	0.02834
2.695	0.01484
2.696	0.02291
2.697	0.01649
2.698	0.01473
2.699	0.02266
2.700	0.01916
2.701	0.00677
2.702	0.01749
2.703	0.02610
2.704	0.01420
2.705	0.00356
2.706	0.00298
2.707	-0.00357
2.708	-0.00916
2.709	0.01258
2.710	0.02679
2.711	0.02885
2.712	0.00389
2.713	-0.00710
2.714	0.00585
2.715	0.02180
2.716	0.01720
2.717	0.00034
2.718	-0.00138
2.719	0.01558
2.720	0.03752
2.721	0.03909
2.722	0.02243
2.723	0.01027
2.724	0.00245
2.725	-0.01273
2.726	-0.00005
2.727	0.01695
2.728	0.01512
2.729	0.01143
2.730	0.02036
2.731	0.02421
2.732	0.01750
2.733	0.00874
2.734	0.00969
2.735	0.01133
2.736	0.01385
2.737	0.02527
2.738	0.05061
2.739	0.10230
2.740	0.09956
2.741	-0.17708
2.742	-0.24077
2.743	-0.05264
2.744	-0.02041
2.745	-0.01390
2.746	-0.00521
2.747	-0.00200
2.748	-0.01685
2.749	-0.02883
2.750	-0.02437
2.751	-0.01590
2.752	0.00793
2.753	0.02446
2.754	0.00048
2.755	-0.01831
2.756	-0.01358
2.757	0.01020
2.758	0.00777
2.759	-0.00680
2.760	-0.01489
2.761	-0.00047
2.762	0.02759
2.763	0.02284
2.764	0.00830
2.765	0.01195
2.766	0.01105
2.767	0.01248
2.768	0.01970
2.769	0.01035
2.770	-0.00150
2.771	-0.00742
2.772	-0.01515
2.773	-0.01505
2.774	-0.01265
2.775	0.00984
2.776	0.03148
2.777	0.00825
2.778	0.00408
2.779	0.00987
2.780	0.00315
2.781	0.01846
2.782	0.02343
2.783	0.01754
2.784	0.00585
2.785	0.01169
2.786	0.02538
2.787	0.00170
2.788	-0.01548
2.789	0.01102
2.790	0.01265
2.791	-0.00997
2.792	-0.02278
2.793	-0.01588
2.794	-0.00149
2.795	0.00372
2.796	0.00252
2.797	-0.00307
2.798	-0.00153
2.799	-0.00907
2.800	-0.02032
2.801	-0.02091
2.802	-0.01078
2.803	0.00314
2.804	0.03547
2.805	0.03573
2.806	0.02052
2.807	-0.00366
2.808	-0.01012
2.809	-0.00850
2.810	-0.00059
2.811	-0.00603
2.812	-0.00371
2.813	0.00811
2.814	0.01191
2.815	0.01644
2.816	0.01439
2.817	-0.00027
2.818	-0.01140
2.819	-0.01282
2.820	0.00148
2.821	0.02032
2.822	0.01517
2.823	0.00468
2.824	0.01026
2.825	0.01587
2.826	0.01624
2.827	0.02003
2.828	0.01785
2.829	0.01253
2.830	0.00626
2.831	0.00116
2.832	0.00072
2.833	0.00222
2.834	0.00265
2.835	0.00175
2.836	-0.00149
2.837	0.00239
2.838	-0.00752
2.839	-0.00068
2.840	0.00850
2.841	0.00559
2.842	0.00197
2.843	0.00346
2.844	0.00724
2.845	0.01037
2.846	0.00297
2.847	-0.00526
2.848	-0.01159
2.849	-0.01589
2.850	-0.00156
2.851	0.01493
2.852	0.01328
2.853	0.00841
2.854	0.00737
2.855	0.01268
2.856	0.01682
2.857	0.01145
2.858	0.00980
2.859	0.02093
2.860	0.01288
2.861	-0.00447
2.862	0.00582
2.863	0.01430
2.864	0.01492
2.865	0.01651
2.866	0.01317
2.867	0.00433
2.868	-0.00422
2.869	-0.00433
2.870	0.00512
2.871	0.00510
2.872	-0.01049
2.873	-0.01711
2.874	-0.00818
2.875	0.00020
2.876	0.01792
2.877	0.02499
2.878	0.01301
2.879	0.01414
2.880	0.01595
2.881	0.01244
2.882	0.00614
2.883	0.00221
2.884	0.00070
2.885	-0.00208
2.886	0.00348
2.887	0.01248
2.888	0.00971
2.889	-0.00126
2.890	-0.00577
2.891	-0.00518
2.892	-0.00465
2.893	-0.00066
2.894	0.00018
2.895	0.00186
2.896	0.00494
2.897	0.00039
2.898	-0.01071
2.899	-0.01623
2.900	-0.00740
2.901	0.00880
2.902	0.01317
2.903	0.00634
2.904	-0.00675
2.905	-0.00278
2.906	0.00675
2.907	0.00626
2.908	0.01370
2.909	0.02006
2.910	0.00747
2.911	-0.00568
2.912	-0.00428
2.913	0.00625
2.914	0.01084
2.915	0.00834
2.916	0.01046
2.917	0.00753
