#Lambda	Flux
2.219	-0.06999
2.220	-0.04871
2.221	0.01173
2.222	0.06496
2.223	0.06342
2.224	0.04566
2.225	-0.01350
2.226	0.02965
2.227	0.03202
2.228	-0.00473
2.229	0.03562
2.230	-0.05195
2.231	0.04532
2.232	-0.00596
2.233	0.01596
2.234	0.00842
2.235	-0.03262
2.236	0.04997
2.237	-0.04490
2.238	-0.03135
2.239	-0.01847
2.240	-0.00667
2.241	-0.01177
2.242	-0.02348
2.243	-0.03945
2.244	-0.00057
2.245	-0.01873
2.246	0.00856
2.247	-0.06725
2.248	0.04796
2.249	0.03230
2.250	-0.00797
2.251	0.05789
2.252	0.05987
2.253	0.11820
2.254	0.02880
2.255	-0.01017
2.256	-0.02202
2.257	-0.00991
2.258	0.01698
2.259	-0.04493
2.260	0.03630
2.261	0.02098
2.262	-0.01266
2.263	-0.02780
2.264	-0.04076
2.265	-0.07018
2.266	-0.06307
2.267	-0.10924
2.268	-0.23693
2.269	0.00104
2.270	0.11518
2.271	0.04430
2.272	0.03659
2.273	0.04321
2.274	0.02424
2.275	-0.02109
2.276	0.02605
2.277	0.08178
2.278	0.07079
2.279	0.02908
2.280	0.03574
2.281	0.03946
2.282	0.01960
2.283	0.02213
2.284	0.02667
2.285	0.03703
2.286	0.03496
2.287	0.00613
2.288	0.00272
2.289	0.05697
2.290	0.02724
2.291	0.00470
2.292	0.03567
2.293	0.05468
2.294	-0.00614
2.295	0.00539
2.296	0.03589
2.297	0.03550
2.298	0.02125
2.299	0.06019
2.300	0.02982
2.301	0.02561
2.302	0.02531
2.303	0.01187
2.304	0.02187
2.305	0.01687
2.306	0.03631
2.307	-0.00205
2.308	-0.02483
2.309	-0.00765
2.310	-0.02857
2.311	-0.00341
2.312	0.03969
2.313	0.00756
2.314	-0.00235
2.315	0.01865
2.316	0.00065
2.317	0.01262
2.318	-0.00676
2.319	-0.01915
2.320	-0.03283
2.321	0.00599
2.322	0.00845
2.323	0.00683
2.324	0.02926
2.325	0.01183
2.326	-0.00562
2.327	0.01134
2.328	-0.01642
2.329	0.00543
2.330	-0.00683
2.331	-0.00910
2.332	0.01960
2.333	0.01640
2.334	-0.01309
2.335	-0.04489
2.336	0.00015
2.337	-0.01090
2.338	-0.01016
2.339	-0.00376
2.340	0.02951
2.341	-0.01968
2.342	-0.01427
2.343	-0.01210
2.344	-0.02541
2.345	0.00780
2.346	-0.02578
2.347	-0.02372
2.348	0.01368
2.349	0.00514
2.350	-0.00161
2.351	0.00721
2.352	0.01684
2.353	0.02152
2.354	0.01224
2.355	0.00070
2.356	-0.00193
2.357	-0.05976
2.358	-0.02674
2.359	0.04911
2.360	-0.00704
2.361	0.01363
2.362	0.01951
2.363	0.01109
2.364	-0.02348
2.365	-0.00825
2.366	0.00352
2.367	0.01366
2.368	-0.00433
2.369	-0.02577
2.370	0.01358
2.371	0.02280
2.372	-0.01883
2.373	-0.01584
2.374	0.01436
2.375	-0.00010
2.376	0.01489
2.377	0.02716
2.378	0.00685
2.379	0.01444
2.380	0.02661
2.381	0.00904
2.382	0.00423
2.383	0.01466
2.384	0.02048
2.385	0.01216
2.386	0.03696
2.387	0.01494
2.388	0.01324
2.389	0.00049
2.390	0.01498
2.391	0.04132
2.392	0.03157
2.393	0.01230
2.394	0.04238
2.395	0.00325
2.396	-0.00118
2.397	-0.00224
2.398	-0.00965
2.399	-0.01885
2.400	0.00276
2.401	-0.00337
2.402	-0.02060
2.403	-0.01389
2.404	-0.00378
2.405	-0.01063
2.406	-0.01519
2.407	0.00340
2.408	-0.01226
2.409	0.03008
2.410	0.02390
2.411	0.02864
2.412	0.00554
2.413	-0.00190
2.414	0.00032
2.415	-0.00022
2.416	-0.01664
2.417	0.03283
2.418	0.05170
2.419	0.03401
2.420	0.01183
2.421	0.00648
2.422	0.01289
2.423	-0.01656
2.424	-0.00102
2.425	-0.01160
2.426	0.01309
2.427	0.02915
2.428	0.01047
2.429	0.01606
2.430	0.00666
2.431	-0.00839
2.432	-0.00402
2.433	-0.00799
2.434	-0.01120
2.435	-0.01668
2.436	0.00803
2.437	0.03624
2.438	0.01078
2.439	-0.00989
2.440	-0.01750
2.441	-0.03364
2.442	-0.03515
2.443	-0.02307
2.444	0.01457
2.445	-0.04374
2.446	-0.02350
2.447	0.02376
2.448	-0.02362
2.449	-0.00575
2.450	-0.00463
2.451	0.01641
2.452	0.02574
2.453	0.01301
2.454	-0.00798
2.455	0.01765
2.456	0.01219
2.457	0.01125
2.458	0.02678
2.459	-0.00007
2.460	0.01363
2.461	0.03424
2.462	0.02233
2.463	0.01560
2.464	0.01047
2.465	-0.00710
2.466	0.00708
2.467	0.02061
2.468	-0.00873
2.469	-0.00720
2.470	0.00693
2.471	0.01534
2.472	0.00370
2.473	0.02219
2.474	-0.00247
2.475	0.00716
2.476	0.00523
2.477	-0.02099
2.478	-0.02151
2.479	0.00033
2.480	0.01165
2.481	0.00734
2.482	0.02193
2.483	0.02165
2.484	0.03103
2.485	0.01531
2.486	-0.00433
2.487	-0.01152
2.488	-0.00869
2.489	0.01637
2.490	0.01271
2.491	0.00700
2.492	0.01727
2.493	0.02728
2.494	0.01866
2.495	0.00100
2.496	-0.04215
2.497	-0.03526
2.498	-0.01844
2.499	0.01967
2.500	0.00274
2.501	-0.02544
2.502	-0.01539
2.503	0.00614
2.504	-0.00435
2.505	0.00058
2.506	-0.02254
2.507	-0.02308
2.508	-0.00034
2.509	-0.01132
2.510	-0.02674
2.511	-0.00251
2.512	0.01651
2.513	-0.00014
2.514	0.00196
2.515	0.00901
2.516	0.01221
2.517	0.01055
2.518	-0.00912
2.519	-0.01179
2.520	-0.02270
2.521	0.01301
2.522	0.03324
2.523	-0.00277
2.524	-0.02095
2.525	0.00193
2.526	0.01316
2.527	-0.00209
2.528	-0.01169
2.529	-0.00071
2.530	0.09949
2.531	0.10468
2.532	0.04918
2.533	0.00186
2.534	0.02183
2.535	0.03818
2.536	0.04775
2.537	0.01976
2.538	0.01485
2.539	0.03180
2.540	0.03374
2.541	0.01602
2.542	-0.00125
2.543	-0.02731
2.544	0.00871
2.545	0.02628
2.546	0.01834
2.547	0.02808
2.548	0.01550
2.549	0.00574
2.550	0.00455
2.551	-0.00015
2.552	0.00488
2.553	-0.02176
2.554	-0.02416
2.555	-0.00015
2.556	-0.00613
2.557	-0.00084
2.558	0.00819
2.559	-0.01436
2.560	0.00042
2.561	0.01137
2.562	0.01644
2.563	0.03141
2.564	0.07810
2.565	0.04396
2.566	0.00281
2.567	-0.01631
2.568	0.00378
2.569	-0.00606
2.570	-0.01261
2.571	-0.01462
2.572	-0.02087
2.573	-0.01656
2.574	0.02966
2.575	0.00428
2.576	-0.02888
2.577	-0.03665
2.578	-0.02731
2.579	-0.03474
2.580	-0.00697
2.581	-0.00017
2.582	-0.00962
2.583	-0.01272
2.584	-0.01156
2.585	0.01381
2.586	-0.00518
2.587	-0.05055
2.588	0.00035
2.589	0.03643
2.590	0.00467
2.591	0.00203
2.592	0.02810
2.593	0.04781
2.594	0.05427
2.595	0.09476
2.596	0.06926
2.597	0.02702
2.598	0.01177
2.599	-0.00654
2.600	0.00064
2.601	0.00870
2.602	-0.02084
2.603	0.02923
2.604	0.11091
2.605	0.11354
2.606	0.05243
2.607	0.03459
2.608	0.01981
2.609	0.01188
2.610	0.00085
2.611	0.00152
2.612	0.00531
2.613	0.02089
2.614	-0.00127
2.615	0.00042
2.616	-0.03268
2.617	-0.03845
2.618	0.01107
2.619	0.03497
2.620	0.02972
2.621	0.00642
2.622	0.01737
2.623	-0.00987
2.624	-0.03938
2.625	-0.03875
2.626	-0.03826
2.627	-0.01514
2.628	0.00937
2.629	-0.00400
2.630	0.00025
2.631	-0.02588
2.632	-0.04087
2.633	0.01924
2.634	0.01673
2.635	-0.00777
2.636	-0.00406
2.637	-0.01159
2.638	0.00672
2.639	0.01388
2.640	-0.00790
2.641	-0.00797
2.642	0.07269
2.643	0.04224
2.644	0.02706
2.645	0.02604
2.646	0.00410
2.647	0.00887
2.648	0.02988
2.649	0.04728
2.650	0.02487
2.651	0.02200
2.652	0.03249
2.653	0.00516
2.654	0.00921
2.655	0.01288
2.656	-0.00421
2.657	0.02075
2.658	0.01910
2.659	0.02031
2.660	0.05022
2.661	0.02954
2.662	0.03077
2.663	0.02398
2.664	0.02921
2.665	0.10655
2.666	0.17632
2.667	0.16231
2.668	0.10334
2.669	0.04202
2.670	0.01312
2.671	-0.00632
2.672	0.01467
2.673	0.01839
2.674	0.02839
2.675	0.00792
2.676	-0.05412
2.677	-0.00462
2.678	0.07410
2.679	0.07784
2.680	0.04698
2.681	0.02169
2.682	-0.00970
2.683	0.00067
2.684	0.02700
2.685	0.02600
2.686	0.03706
2.687	0.03746
2.688	0.03035
2.689	0.00516
2.690	0.00272
2.691	0.00835
2.692	0.00789
2.693	-0.01121
2.694	-0.04369
2.695	0.02866
2.696	0.04358
2.697	0.01788
2.698	0.02452
2.699	0.01262
2.700	0.00961
2.701	-0.00472
2.702	0.00987
2.703	0.00073
2.704	-0.02449
2.705	-0.02830
2.706	0.01032
2.707	0.03061
2.708	0.02740
2.709	0.01648
2.710	0.01695
2.711	0.04940
2.712	-0.00152
2.713	-0.01236
2.714	-0.01476
2.715	-0.02791
2.716	-0.02705
2.717	-0.02084
2.718	-0.02809
2.719	-0.03496
2.720	-0.04417
2.721	0.02881
2.722	-0.01012
2.723	-0.04235
2.724	-0.04277
2.725	-0.00086
2.726	-0.01321
2.727	-0.01108
2.728	0.00184
2.729	0.01996
2.730	0.01786
2.731	-0.00084
2.732	0.01799
2.733	0.03696
2.734	0.04575
2.735	0.05314
2.736	0.02075
2.737	0.02164
2.738	0.03417
2.739	0.07918
2.740	0.15380
2.741	-0.15199
2.742	-0.22597
2.743	-0.04232
2.744	-0.04186
2.745	-0.03984
2.746	-0.00127
2.747	0.00196
2.748	-0.00536
2.749	0.00511
2.750	0.00243
2.751	-0.03500
2.752	-0.05749
2.753	-0.00993
2.754	0.03526
2.755	0.12457
2.756	0.06352
2.757	-0.00022
2.758	0.03155
2.759	0.04417
2.760	0.02214
2.761	0.02172
2.762	0.04080
2.763	0.03327
2.764	-0.01233
2.765	-0.01913
2.766	-0.00271
2.767	0.00429
2.768	0.01104
2.769	0.01274
2.770	0.01009
2.771	0.01586
2.772	0.01212
2.773	0.02096
2.774	0.03137
2.775	0.02892
2.776	0.03957
2.777	0.04385
2.778	0.00846
2.779	0.00026
2.780	0.04266
2.781	0.05578
2.782	0.01552
2.783	0.02069
2.784	0.02027
2.785	0.01118
2.786	-0.00115
2.787	0.00133
2.788	0.01995
2.789	-0.00402
2.790	-0.02405
2.791	-0.02053
2.792	0.00180
2.793	0.03695
2.794	0.03402
2.795	0.01558
2.796	0.00491
2.797	-0.00045
2.798	0.00476
2.799	0.00514
2.800	-0.00050
2.801	-0.00827
2.802	-0.00997
2.803	-0.01277
2.804	-0.02729
2.805	-0.00284
2.806	0.00937
2.807	0.01793
2.808	0.00928
2.809	0.00302
2.810	0.01613
2.811	0.03104
2.812	0.01995
2.813	0.00910
2.814	0.00346
2.815	0.01057
2.816	0.00770
2.817	0.01094
2.818	0.00823
2.819	-0.02073
2.820	-0.02838
2.821	0.01114
2.822	0.02869
2.823	0.00815
2.824	0.00154
2.825	0.00819
2.826	0.00626
2.827	0.01168
2.828	0.02416
2.829	0.01012
2.830	-0.00665
2.831	-0.01824
2.832	-0.01757
2.833	0.01664
2.834	0.02698
2.835	0.01472
2.836	0.01061
2.837	0.00776
2.838	0.01819
2.839	0.01611
2.840	-0.00113
2.841	0.00185
2.842	0.01067
2.843	0.01490
2.844	0.01499
2.845	0.00618
2.846	-0.00573
2.847	-0.00441
2.848	-0.00765
2.849	-0.01683
2.850	-0.00822
2.851	-0.00408
2.852	-0.00188
2.853	0.00520
2.854	-0.00183
2.855	-0.01106
2.856	-0.00219
2.857	0.01813
2.858	0.03659
2.859	0.04390
2.860	0.03640
2.861	0.00107
2.862	-0.02535
2.863	-0.01864
2.864	0.00249
2.865	0.01370
2.866	-0.00025
2.867	-0.01845
2.868	-0.00877
2.869	-0.00108
2.870	0.00241
2.871	0.03296
2.872	0.03621
2.873	-0.01131
2.874	-0.02562
2.875	-0.01962
2.876	-0.00800
2.877	0.00966
2.878	0.00875
2.879	-0.01371
2.880	-0.00689
2.881	0.01680
2.882	0.01323
2.883	-0.00814
2.884	-0.01803
2.885	-0.01844
2.886	-0.01214
2.887	-0.01801
2.888	-0.01484
2.889	-0.00457
2.890	0.00574
2.891	0.01822
2.892	0.01246
2.893	0.00340
2.894	0.01204
2.895	0.01022
2.896	-0.00711
2.897	-0.00638
2.898	-0.00575
2.899	-0.00039
2.900	0.01413
2.901	0.02090
2.902	0.02141
2.903	0.00111
2.904	-0.02188
2.905	-0.01475
2.906	0.01836
2.907	0.03108
2.908	0.01671
2.909	0.00063
2.910	0.00465
2.911	0.01172
2.912	0.00921
2.913	0.00944
2.914	-0.00298
2.915	-0.00688
2.916	0.00657
