#Lambda	Flux
2.015	0.02069
2.016	-0.00560
2.017	-0.01040
2.018	-0.01043
2.019	-0.00795
2.020	-0.01492
2.021	-0.00716
2.022	-0.00248
2.023	0.01420
2.024	0.03347
2.025	0.04209
2.026	0.03006
2.027	0.01892
2.028	0.02170
2.029	0.01695
2.030	0.03112
2.031	0.05674
2.032	0.07690
2.033	0.07162
2.034	0.04740
2.035	0.00549
2.036	-0.01067
2.037	-0.01019
2.038	-0.01175
2.039	0.00465
2.040	0.00614
2.041	0.00971
2.042	0.01393
2.043	0.00545
2.044	0.01843
2.045	0.02398
2.046	-0.00028
2.047	-0.00242
2.048	0.01609
2.049	0.03083
2.050	0.03334
2.051	0.05284
2.052	0.05545
2.053	0.02375
2.054	-0.00639
2.055	0.07462
2.056	0.17826
2.057	0.07604
2.058	-0.04429
2.059	-0.03959
2.060	0.03004
2.061	0.06870
2.062	0.05241
2.063	0.01937
2.064	0.04868
2.065	0.08244
2.066	0.05660
2.067	0.02057
2.068	-0.01963
2.069	-0.05621
2.070	-0.01917
2.071	0.03041
2.072	-0.00479
2.073	-0.01813
2.074	-0.00261
2.075	-0.00609
2.076	-0.03174
2.077	-0.04513
2.078	0.00827
2.079	0.05853
2.080	0.05441
2.081	0.03962
2.082	0.04237
2.083	0.01686
2.084	-0.00709
2.085	0.00482
2.086	0.02389
2.087	0.01931
2.088	-0.00318
2.089	0.01285
2.090	-0.00136
2.091	0.00013
2.092	0.04897
2.093	0.06377
2.094	0.05712
2.095	0.06281
2.096	0.07182
2.097	0.05704
2.098	0.01256
2.099	-0.03512
2.100	0.00982
2.101	0.02771
2.102	-0.00872
2.103	-0.05803
2.104	-0.06512
2.105	-0.03283
2.106	-0.06203
2.107	-0.15821
2.108	-0.12403
2.109	0.06261
2.110	0.10100
2.111	-0.00983
2.112	-0.00916
2.113	0.08799
2.114	0.12286
2.115	0.13916
2.116	0.15944
2.117	0.15862
2.118	0.12873
2.119	0.04569
2.120	-0.00636
2.121	0.10461
2.122	0.12621
2.123	0.00237
2.124	0.02547
2.125	0.07947
2.126	0.04878
2.127	0.06631
2.128	0.08829
2.129	0.05027
2.130	0.01095
2.131	-0.01158
2.132	0.02059
2.133	0.11267
2.134	0.04870
2.135	-0.05110
2.136	-0.03858
2.137	0.01719
2.138	0.07698
2.139	0.07314
2.140	0.02725
2.141	-0.01923
2.142	0.03026
2.143	0.13159
2.144	0.12446
2.145	-0.00471
2.146	-0.12242
2.147	-0.06211
2.148	0.11707
2.149	0.16817
2.150	0.10839
2.151	0.17693
2.152	0.30911
2.153	0.26711
2.154	0.12277
2.155	0.10815
2.156	0.21504
2.157	0.19245
2.158	0.06650
2.159	0.08819
2.160	0.07906
2.161	-0.03961
2.162	0.02536
2.163	0.20091
2.164	0.21283
2.165	0.09923
2.166	0.00070
2.167	-0.00568
2.168	0.00723
2.169	0.01455
2.170	0.12863
2.171	0.23590
2.172	0.22155
2.173	0.11156
2.174	0.07049
2.175	0.13601
2.176	0.09182
2.177	-0.01310
2.178	0.02020
2.179	0.07164
2.180	0.02072
2.181	-0.10881
2.182	-0.27836
2.183	-0.27817
2.184	-0.10047
2.185	0.08375
2.186	0.14332
2.187	0.06998
2.188	0.04556
2.189	0.08438
2.190	0.05045
2.191	-0.09295
2.192	-0.01964
2.193	0.35938
2.194	0.43409
2.195	0.24744
2.196	0.15393
2.197	0.10206
2.198	0.10997
2.199	0.17126
2.200	0.16647
2.201	0.05226
2.202	0.00148
2.203	0.00532
2.204	-0.03563
2.205	0.00007
2.206	0.09250
2.207	0.10817
2.208	0.07990
2.209	0.07164
2.210	0.05888
2.211	0.00517
2.212	-0.08703
2.213	-0.09998
2.214	0.01115
2.215	0.08890
2.216	0.07932
2.217	0.04997
2.218	0.03822
2.219	0.05907
2.220	0.07491
2.221	0.03907
2.222	0.00678
2.223	0.05587
2.224	0.10774
2.225	0.06079
2.226	0.00153
2.227	0.01482
2.228	0.03103
2.229	0.02012
2.230	0.01716
2.231	0.00874
