FILENAME:	2bj01516.txt
TITLE:	AFC Filter 11 ZnS Test Piece Sample 2BJ @ 15K, 2.6°i, In f/8 (CDCR 04752/04755, SMCR 01893)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 11 (NeII) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	12-Jul-2001
AUTHOR:	Richard Sherwood
CHANNEL:	11
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
1.756	0.29464
1.757	0.11273
1.758	-0.44880
1.759	-0.07447
1.760	0.32624
1.761	0.06058
1.762	0.27659
1.763	0.23236
1.764	0.01131
1.765	-0.00510
1.766	0.26575
1.767	-0.19622
1.768	0.57518
1.769	0.14643
1.770	0.07852
1.771	0.09985
1.772	0.16954
1.773	-0.10085
1.774	0.38869
1.775	0.48134
1.776	0.25296
1.777	0.56586
1.778	1.49105
1.779	0.22168
1.780	0.14410
1.781	-0.01156
1.782	-0.28113
1.783	-0.13941
1.784	0.04267
1.785	0.42762
1.786	0.41308
1.787	0.68663
1.788	0.05828
1.789	-0.33769
1.790	0.18348
1.791	-0.41688
1.792	0.07135
1.793	-0.11592
1.794	-0.04946
1.795	-0.17288
1.796	-0.38239
1.797	-0.06918
1.798	0.59409
1.799	0.34440
1.800	0.27171
1.801	0.30287
1.802	0.39069
1.803	0.28450
1.804	0.22108
1.805	0.04724
1.806	-0.11798
1.807	0.14730
1.808	0.02845
1.809	-0.08684
1.810	0.48454
1.811	0.01870
1.812	0.53979
1.813	0.12649
1.814	0.37048
1.815	0.04786
1.816	0.11687
1.817	-0.13446
1.818	-0.26355
1.819	-0.01990
1.820	0.23947
1.821	0.11013
1.822	-0.14584
1.823	0.29693
1.824	-0.01001
1.825	-0.13184
1.826	0.42561
1.827	0.53484
1.828	0.00895
1.829	0.42142
1.830	-0.07210
1.831	-0.00678
1.832	-0.19077
1.833	-0.13144
1.834	-0.18977
1.835	-0.00097
1.836	0.24551
1.837	-0.08643
1.838	-0.24707
1.839	0.07572
1.840	0.14484
1.841	-0.01534
1.842	0.12645
1.843	0.02729
1.844	0.03688
1.845	-0.28129
1.846	0.28431
1.847	-0.49444
1.848	0.48449
1.849	0.28810
1.850	0.09056
1.851	-0.05304
1.852	0.31389
1.853	0.42083
1.854	-0.10079
1.855	0.10172
1.856	0.23646
1.857	-0.23931
1.858	-0.09783
1.859	0.12664
1.860	0.48555
1.861	-0.12794
1.862	0.25800
1.863	-0.62079
1.864	-0.23646
1.865	0.01867
1.866	-0.15351
1.867	-0.10250
1.868	-0.45886
1.869	-0.31380
1.870	0.04398
1.871	0.38593
1.872	0.01635
1.873	0.16183
1.874	0.22203
1.875	0.10883
1.876	0.19841
1.877	0.33936
1.878	0.03094
1.879	0.09986
1.880	0.24384
1.881	0.25162
1.882	0.15622
1.883	0.03668
1.884	0.14122
1.885	0.43558
1.886	-0.13786
1.887	-0.09149
1.888	-0.28146
1.889	-0.41321
1.890	-0.06679
1.891	0.25146
1.892	0.32206
1.893	0.28883
1.894	-0.22507
1.895	0.06859
1.896	0.21918
1.897	0.51785
1.898	0.04610
1.899	0.23092
1.900	-0.26640
1.901	0.30705
1.902	0.33968
1.903	-0.12522
1.904	-0.24573
1.905	-0.10601
1.906	-0.36056
1.907	0.30052
1.908	-0.14999
1.909	-0.27819
1.910	0.13055
1.911	-0.02120
1.912	0.09220
1.913	0.28875
1.914	0.68051
1.915	0.06286
1.916	-0.24163
1.917	0.12957
1.918	-0.02656
1.919	0.20601
1.920	0.21926
1.921	0.09675
1.922	0.07819
1.923	-0.06637
1.924	-0.15126
1.925	-0.07354
1.926	-0.06532
1.927	-0.03728
1.928	0.13743
1.929	0.01816
1.930	0.12388
1.931	0.11731
1.932	0.02898
1.933	0.38736
1.934	0.06628
1.935	-0.83854
1.936	-0.04601
1.937	-0.11313
1.938	-0.08364
1.939	-0.33626
1.940	-0.16422
1.941	-0.13480
1.942	0.09172
1.943	0.01469
1.944	0.25214
1.945	0.15656
1.946	-0.06131
1.947	-0.05798
1.948	0.11182
1.949	0.23339
1.950	0.26062
1.951	0.50453
1.952	0.22654
1.953	0.56602
1.954	0.42982
1.955	-0.46746
1.956	-0.04015
1.957	0.61265
1.958	0.30656
1.959	0.12061
1.960	0.25106
1.961	-0.01607
1.962	-0.06809
1.963	-0.15131
1.964	0.03044
1.965	0.12082
