# col1          col2        
  102.30200195  0.0017398   
  102.56400299  0.00163896  
  102.82800293  0.00156995  
  103.09300232  0.0015231   
  103.35900116  0.00145059  
  103.6269989   0.0013455   
  103.89600372  0.00128988  
  104.16699982  0.00124901  
  104.43900299  0.00118141  
  104.71199799  0.00112123  
  104.98699951  0.00105817  
  105.26300049  9.8001E-4   
  105.54100037  9.1733E-4   
  105.81999969  8.5796E-4   
  106.10099792  7.9056E-4   
  106.38300323  7.3909E-4   
  106.66699982  7.0117E-4   
  106.95200348  6.6206E-4   
  107.23899841  6.357E-4    
  107.52700043  6.1679E-4   
  107.81700134  5.8834E-4   
  108.10800171  5.6014E-4   
  108.40100098  5.3572E-4   
  108.69599915  5.003E-4    
  108.99199677  4.639E-4    
  109.29000092  4.3364E-4   
  109.58899689  3.994E-4    
  109.88999939  3.7052E-4   
  110.19300079  3.5387E-4   
  110.49700165  3.3669E-4   
  110.8030014   3.2081E-4   
  111.11100006  3.1495E-4   
  111.42099762  3.0999E-4   
  111.73200226  3.0174E-4   
  112.04499817  2.9265E-4   
  112.36000061  2.7856E-4   
  112.6760025   2.6215E-4   
  112.9940033   2.5119E-4   
  113.31400299  2.4233E-4   
  113.63600159  2.3074E-4   
  113.95999908  2.1925E-4   
  114.28600311  2.0772E-4   
  114.61299896  1.9462E-4   
  114.94300079  1.8203E-4   
  115.27400208  1.6819E-4   
  115.60700226  1.5253E-4   
  115.94200134  1.4152E-4   
  116.27899933  1.3743E-4   
  116.61799622  1.3387E-4   
  116.95899963  1.291E-4    
  117.30200195  1.2409E-4   
  117.64700317  1.1883E-4   
  117.9940033   1.1462E-4   
  118.34300232  1.1119E-4   
  118.69400024  1.0582E-4   
  119.04799652  9.967E-5    
  119.40299988  9.419E-5    
  119.76000214  8.737E-5    
  120.12000275  7.821E-5    
  120.48200226  6.71E-5     
  120.84600067  5.563E-5    
  121.21199799  4.576E-5    
  121.58100128  3.898E-5    
  121.9509964   3.471E-5    
  122.3239975   3.111E-5    
  122.6989975   2.782E-5    
  123.07700348  2.566E-5    
  123.45700073  2.461E-5    
  123.83899689  2.36E-5     
  124.22399902  2.143E-5    
  124.61100006  1.745E-5    
  125.0         1.274E-5    
  125.39199829  9.79E-6     
  125.78600311  8.22E-6     
  126.18299866  7.68E-6     
  126.58200073  7.38E-6     
  126.98400116  6.95E-6     
  127.38899994  6.29E-6     
  127.79599762  5.51E-6     
  128.20500183  4.63E-6     
  128.61700439  3.75E-6     
  129.03199768  2.93E-6     
  129.44999695  2.28E-6     
  129.86999512  1.83E-6     
  130.29299927  1.53E-6     
  130.71899414  1.28E-6     
  131.147995    1.07E-6     
  131.57899475  9.8E-7      
  132.01300049  1.08E-6     
  132.44999695  1.29E-6     
  132.88999939  1.38E-6     
  133.33299255  1.21E-6     
  133.77900696  1.03E-6     
  134.22799683  1.02E-6     
  134.67999268  1.14E-6     
  135.13499451  1.24E-6     
  135.59300232  1.24E-6     
  136.05400085  1.11E-6     
  136.51899719  9.6E-7      
  136.98599243  8.2E-7      
  137.45700073  6.8E-7      
  137.9309845   5.8E-7      
  138.40800476  6.2E-7      
  138.88900757  7.8E-7      
  139.3730011   9.1E-7      
  139.86000061  9.0E-7      
  140.35099792  8.0E-7      
  140.84500122  6.5E-7      
  141.34300232  4.9E-7      
  141.84399414  3.4E-7      
  142.34899902  2.0E-7      
  142.85699463  8.0E-8      
  143.3690033   1.0E-8      
  143.88499451  1.0E-8      
  144.40400696  5.0E-8      
  144.92799377  8.0E-8      
  145.45500183  1.0E-7      
  145.98500061  1.1E-7      
  146.52000427  1.0E-7      
  147.05900574  8.0E-8      
  147.60099792  6.0E-8      
  148.147995    4.0E-8      
  148.69900513  3.0E-8      
  149.2539978   2.0E-8      
  149.81300354  2.0E-8      
  150.37600708  1.0E-8      
  150.94299316  1.0E-8      
  151.51499939  1.0E-8      
  152.09100342  1.0E-8      
  152.67199707  1.0E-8      
  153.25700378  1.0E-8      
  153.84599304  1.0E-8      
  154.44000244  1.0E-8      
  155.03900146  1.0E-8      
  155.64199829  1.0E-8      
  156.25        1.0E-8      
  156.86300659  1.0E-8      
  157.47999573  1.0E-8      
