# col1          col2       
  72.59529877   6.2056E-4  
  72.72730255   3.3404E-4  
  72.85970306   6.65E-5    
  72.99269867   7.177E-5   
  73.12609863   1.9846E-4  
  73.26010132   1.011E-5   
  73.39450073   2.501E-5   
  73.52940369   1.0569E-4  
  73.66480255   2.172E-5   
  73.80069733   9.14E-5    
  73.93720245   1.734E-5   
  74.07409668   9.461E-5   
  74.21150208   3.5674E-4  
  74.34940338   1.9632E-4  
  74.48789978   2.2349E-4  
  74.62689972   4.2985E-4  
  74.7664032    1.9533E-4  
  74.90640259   5.676E-5   
  75.04689789   1.5203E-4  
  75.18800354   2.638E-5   
  75.32959747   1.392E-5   
  75.47170258   2.1872E-4  
  75.61440277   2.0281E-4  
  75.75759888   1.9666E-4  
  75.90129852   8.5319E-4  
  76.04560089   5.1618E-4  
  76.19049835   1.3243E-4  
  76.33589935   8.7785E-4  
  76.48179626   5.9763E-4  
  76.62830353   1.4841E-4  
  76.77539825   0.001077   
  76.92310333   0.00107757 
  77.07129669   5.0576E-4  
  77.2201004    0.00146602 
  77.36940002   0.00187287 
  77.51940155   0.0012279  
  77.66989899   0.00201758 
  77.82099915   0.00263618 
  77.97270203   0.00188691 
  78.125        0.00248817 
  78.2779007    0.00343843 
  78.43139648   0.00281022 
  78.58550262   0.00320552 
  78.74019623   0.00447173 
  78.89550018   0.00439539 
  79.05139923   0.00517591 
  79.207901     0.00716061 
  79.36509705   0.00761961 
  79.52290344   0.0083747  
  79.6812973    0.0105813  
  79.84030151   0.0114142  
  80.0          0.0122284  
  80.16030121   0.0148922  
  80.32129669   0.0165573  
  80.48290253   0.0180259  
  80.64520264   0.0219115  
  80.80809784   0.0254878  
  80.97170258   0.0281046  
  81.1359024    0.0329856  
  81.30079651   0.0391302  
  81.46640015   0.0450417  
  81.63269806   0.0518642  
  81.79959869   0.0589551  
  81.96720123   0.066848   
  82.13549805   0.0767671  
  82.30449677   0.0874425  
  82.47419739   0.10078    
  82.64459991   0.115714   
  82.81569672   0.131404   
  82.98750305   0.149148   
  83.16010284   0.167954   
  83.33329773   0.186327   
  83.50730133   0.205672   
  83.68199921   0.225335   
  83.85739899   0.242845   
  84.03359985   0.25958899 
  84.21050262   0.26947799 
  84.38819885   0.28338301 
  84.56659698   0.296556   
  84.7457962    0.31072    
  84.92569733   0.32531399 
  85.10639954   0.34153101 
  85.28780365   0.35937899 
  85.4701004    0.376443   
  85.65309906   0.39281699 
  85.8368988    0.40865001 
  86.02149963   0.420221   
  86.20690155   0.42962399 
  86.39309692   0.437686   
  86.58010101   0.44207799 
  86.76789856   0.44365403 
  86.95649719   0.44466099 
  87.14600372   0.44394699 
  87.3361969    0.44148901 
  87.52739716   0.43945301 
  87.71929932   0.43698499 
  87.91210175   0.433433   
  88.10569763   0.43101096 
  88.30020142   0.428992   
  88.49559784   0.425648   
  88.69180298   0.42288199 
  88.88890076   0.42048299 
  89.0868988    0.416628   
  89.28569794   0.41242301 
  89.48549652   0.409785   
  89.68609619   0.406396   
  89.88760376   0.40397599 
  90.09010315   0.404834   
  90.29350281   0.407556   
  90.49770355   0.41273299 
  90.70290375   0.42129299 
  90.90910339   0.429533   
  91.11620331   0.43793499 
  91.32420349   0.449141   
  91.53320312   0.46035099 
  91.74310303   0.47035199 
  91.95400238   0.48168799 
  92.16590118   0.49260899 
  92.37879944   0.50215298 
  92.59259796   0.512986   
  92.80740356   0.52349299 
  93.02330017   0.53169203 
  93.24009705   0.54063302 
  93.457901     0.549775   
  93.67680359   0.55576402 
  93.896698     0.56106794 
  94.11759949   0.56594199 
  94.33959961   0.56745201 
  94.56259918   0.56815702 
  94.78669739   0.570508   
  95.01190186   0.57161599 
  95.23809814   0.57301903 
  95.4654007    0.57577997 
  95.69380188   0.57636702 
  95.9233017    0.57573903 
  96.15380096   0.57861    
  96.38549805   0.58024597 
  96.61840057   0.57896602 
  96.85230255   0.58003801 
  97.08740234   0.58121902 
  97.32360077   0.58018398 
  97.56099701   0.58117199 
  97.79949951   0.58252603 
  98.03919983   0.581595   
  98.28009796   0.58192098 
  98.52220154   0.58216703 
  98.76540375   0.57895201 
  99.00990295   0.57516903 
  99.25559998   0.57110798 
  99.50250244   0.56364    
  99.75060272   0.55684602 
  100.0         0.55362701 
  100.25099945  0.54926902 
  100.50299835  0.54414701 
  100.7559967   0.54043102 
  101.01000214  0.53398103 
  101.26599884  0.52784401 
  101.52300262  0.52594501 
  101.78099823  0.524405   
  102.04100037  0.520724   
  102.30200195  0.51907402 
  102.56400299  0.51768798 
  102.82800293  0.51460803 
  103.09300232  0.51393098 
  103.35900116  0.51378298 
  103.6269989   0.51080197 
  103.89600372  0.50716901 
  104.16699982  0.50225598 
  104.43900299  0.49441001 
  104.71199799  0.48783499 
  104.98699951  0.482584   
  105.26300049  0.47337201 
  105.54100037  0.46371901 
  105.81999969  0.460195   
  106.10099792  0.455217   
  106.38300323  0.450775   
  106.66699982  0.45350099 
  106.95200348  0.45592001 
  107.23899841  0.45561901 
